Date,Price,Open,High,Low,Vol.,Change %
10/17/2017,"26,796","26,669","27,093","26,626",3.69M,0.48%
10/18/2017,"26,584","26,796","26,839","26,584",3.67M,-0.79%
10/19/2017,"26,711","26,669","27,008","26,584",4.22M,0.48%
10/20/2017,"26,414","26,711","26,754","26,244",3.91M,-1.11%
10/23/2017,"26,159","26,414","26,456","25,862",3.76M,-0.97%
10/24/2017,"26,117","26,159","26,202","25,989",3.26M,-0.16%
10/25/2017,"25,819","26,117","26,159","25,607",2.74M,-1.14%
10/26/2017,"25,777","25,819","25,819","25,522",2.44M,-0.16%
10/27/2017,"25,904","25,777","25,904","25,650",3.51M,0.49%
10/30/2017,"25,904","25,904","25,989","25,862",3.59M,0.00%
10/31/2017,"25,862","25,904","25,947","25,777",3.03M,-0.16%
11/1/2017,"25,819","25,819","25,904","25,692",2.80M,-0.17%
11/2/2017,"26,244","25,819","26,541","25,734",4.14M,1.65%
11/3/2017,"26,117","26,244","26,329","26,074",3.71M,-0.48%
11/6/2017,"26,074","26,117","26,202","26,032",3.62M,-0.16%
11/7/2017,"25,989","26,074","26,117","25,947",3.86M,-0.33%
11/8/2017,"25,904","25,989","26,032","25,055",3.75M,-0.33%
11/9/2017,"25,650","25,904","25,904","25,437",3.81M,-0.98%
11/10/2017,"25,819","25,650","25,819","25,395",3.85M,0.66%
11/13/2017,"25,819","25,819","25,904","25,777",3.71M,0.00%
11/14/2017,"25,777","25,819","25,862","25,650",3.47M,-0.16%
11/15/2017,"25,777","25,777","25,819","25,650",3.61M,0.00%
11/16/2017,"25,862","25,777","26,074","25,734",2.99M,0.33%
11/17/2017,"25,819","25,862","26,074","25,734",3.52M,-0.17%
11/20/2017,"25,395","25,819","25,819","25,267",4.26M,-1.64%
11/21/2017,"25,352","25,395","25,522","25,225",4.45M,-0.17%
11/22/2017,"25,692","25,352","25,777","25,310",4.50M,1.34%
11/23/2017,"25,522","25,734","25,904","25,522",4.22M,-0.66%
11/24/2017,"25,437","25,522","25,522","25,352",4.26M,-0.33%
11/27/2017,"25,777","25,437","25,904","25,395",4.41M,1.34%
11/28/2017,"26,287","25,777","26,754","25,777",4.59M,1.98%
11/29/2017,"26,456","26,287","26,796","26,287",1.44M,0.64%
11/30/2017,"26,159","26,584","26,669","26,159",2.14M,-1.12%
