Date,Price,Open,High,Low,Vol.,Change %
4/20/2017,"10,585.20","10,934.70","11,184.40","10,485.40",7.44M,-2.08%
4/21/2017,"10,760.00","10,485.40","10,785.00","10,385.50",5.14M,1.65%
4/24/2017,"10,785.00","10,560.30","10,859.80","10,435.40",6.65M,0.23%
4/25/2017,"11,134.50","10,760.00","11,159.40","10,660.10",8.57M,3.24%
4/26/2017,"11,134.50","11,284.30","11,284.30","11,034.60",8.74M,0.00%
4/27/2017,"11,084.50","11,134.50","11,234.30","10,959.70",6.29M,-0.45%
4/28/2017,"10,809.90","10,984.70","11,034.60","10,710.10",6.46M,-2.48%
5/3/2017,"10,785.00","10,585.20","10,934.70","10,510.30",4.91M,-0.23%
5/4/2017,"11,209.40","10,884.80","11,234.30","10,859.80",10.59M,3.94%
5/5/2017,"11,209.40","11,309.20","11,434.00","11,209.40",9.15M,0.00%
5/8/2017,"11,459.00","11,209.40","11,459.00","11,084.50",9.77M,2.23%
5/9/2017,"12,232.90","11,583.80","12,232.90","11,558.90",12.50M,6.75%
5/10/2017,"11,783.60","12,307.80","12,307.80","11,783.60",7.86M,-3.67%
5/11/2017,"11,783.60","11,783.60","11,958.30","11,583.80",7.72M,0.00%
5/12/2017,"11,983.30","11,783.60","12,133.10","11,683.70",10.84M,1.69%
5/15/2017,"12,619.10","12,619.10","12,820.80","12,446.30",12.59M,5.31%
5/16/2017,"12,215.80","12,676.80","12,734.40","12,215.80",7.72M,-3.20%
5/17/2017,"11,812.40","12,129.40","12,388.70","11,697.20",9.35M,-3.30%
5/18/2017,"11,898.90","11,639.60","12,215.80","11,524.30",10.55M,0.73%
5/19/2017,"11,639.60","12,014.10","12,100.60","11,639.60",8.15M,-2.18%
5/22/2017,"10,890.50","11,524.30","11,783.60","10,890.50",10.59M,-6.44%
5/23/2017,"10,832.90","10,775.30","11,265.00","10,688.80",9.22M,-0.53%
5/24/2017,"11,005.70","11,063.40","11,121.00","10,890.50",4.67M,1.60%
5/25/2017,"11,524.30","11,178.60","11,582.00","11,178.60",7.12M,4.71%
5/26/2017,"11,322.70","11,697.20","11,697.20","11,063.40",8.19M,-1.75%
5/29/2017,"10,688.80","11,322.70","11,322.70","10,688.80",9.33M,-5.60%
5/30/2017,"9,968.60","10,688.80","10,775.30","9,968.60",11.72M,-6.74%
5/31/2017,"9,882.10","10,026.20","10,429.50","9,738.10",8.49M,-0.87%
6/1/2017,"10,371.90","10,026.20","10,371.90","9,939.70",5.81M,4.96%
6/2/2017,"10,314.30","10,487.10","10,487.10","10,199.00",4.26M,-0.56%
6/5/2017,"9,997.40","10,343.10","10,371.90","9,910.90",4.58M,-3.07%
6/6/2017,"10,055.00","10,026.20","10,199.00","9,795.70",4.39M,0.58%
6/7/2017,"10,199.00","10,141.40","10,429.50","10,141.40",5.45M,1.43%
6/8/2017,"9,997.40","10,199.00","10,314.30","9,968.60",4.24M,-1.98%
6/9/2017,"10,083.80","9,968.60","10,227.80","9,939.70",4.24M,0.86%
6/12/2017,"9,997.40","10,170.20","10,170.20","9,968.60",3.72M,-0.86%
6/13/2017,"9,738.10","9,968.60","9,997.40","9,565.20",10.70M,-2.59%
6/14/2017,"9,795.70","9,795.70","9,910.90","9,766.90",4.95M,0.59%
6/15/2017,"9,795.70","9,795.70","9,882.10","9,622.80",2.80M,0.00%
6/16/2017,"10,112.60","9,709.30","10,314.30","9,622.80",13.39M,3.24%
6/19/2017,"10,371.90","10,285.50","10,573.60","10,227.80",10.06M,2.56%
6/20/2017,"10,227.80","10,429.50","10,487.10","10,227.80",7.30M,-1.39%
6/21/2017,"9,968.60","10,199.00","10,227.80","9,853.30",12.05M,-2.53%
6/22/2017,"10,199.00","9,968.60","10,199.00","9,939.70",11.54M,2.31%
6/23/2017,"10,227.80","10,199.00","10,487.10","10,199.00",14.74M,0.28%
6/26/2017,"10,055.00","10,227.80","10,314.30","10,026.20",5.61M,-1.69%
6/27/2017,"9,795.70","10,026.20","10,083.80","9,738.10",9.84M,-2.58%
6/28/2017,"9,795.70","9,766.90","9,939.70","9,738.10",6.63M,0.00%
6/29/2017,"9,853.30","9,795.70","9,997.40","9,795.70",4.84M,0.59%
6/30/2017,"9,968.60","9,853.30","10,055.00","9,824.50",6.02M,1.17%
7/3/2017,"9,910.90","9,968.60","10,026.20","9,882.10",4.77M,-0.58%
7/4/2017,"9,853.30","9,968.60","9,968.60","9,824.50",4.41M,-0.58%
7/5/2017,"9,795.70","9,824.50","9,882.10","9,709.30",7.46M,-0.58%
7/6/2017,"9,968.60","9,795.70","9,968.60","9,738.10",6.71M,1.77%
7/7/2017,"9,795.70","9,968.60","10,055.00","9,766.90",9.12M,-1.73%
7/10/2017,"9,594.00","9,824.50","9,853.30","9,594.00",5.61M,-2.06%
7/11/2017,"9,334.70","9,565.20","9,680.40","9,104.20",14.05M,-2.70%
7/12/2017,"9,133.00","9,334.70","9,334.70","9,133.00",7.61M,-2.16%
7/13/2017,"9,594.00","9,133.00","9,651.60","9,046.60",9.29M,5.05%
7/14/2017,"9,738.10","9,594.00","9,738.10","9,450.00",5.54M,1.50%
7/17/2017,"9,507.60","9,622.80","9,766.90","9,450.00",7.09M,-2.37%
7/18/2017,"9,421.10","9,392.30","9,507.60","9,248.30",4.84M,-0.91%
7/19/2017,"9,450.00","9,421.10","9,651.60","9,392.30",4.15M,0.31%
7/20/2017,"9,651.60","9,507.60","9,651.60","9,392.30",4.02M,2.13%
7/21/2017,"9,594.00","9,651.60","9,738.10","9,536.40",9.33M,-0.60%
7/24/2017,"9,421.10","9,507.60","9,565.20","9,277.10",3.34M,-1.80%
7/25/2017,"9,565.20","9,392.30","9,594.00","9,392.30",2.74M,1.53%
7/26/2017,"10,227.80","9,565.20","10,227.80","9,565.20",14.11M,6.93%
7/27/2017,"10,573.60","10,343.10","10,775.30","10,314.30",18.10M,3.38%
7/28/2017,"10,516.00","10,631.20","10,631.20","10,429.50",6.08M,-0.54%
7/31/2017,"11,005.70","10,487.10","11,034.60","10,429.50",11.45M,4.66%
8/1/2017,"10,804.10","10,948.10","11,092.20","10,804.10",12.02M,-1.83%
8/2/2017,"10,890.50","10,804.10","11,034.60","10,602.40",8.34M,0.80%
8/3/2017,"10,919.30","10,919.30","11,149.80","10,832.90",6.50M,0.26%
8/4/2017,"11,121.00","11,034.60","11,149.80","10,890.50",6.46M,1.85%
8/7/2017,"11,322.70","11,207.40","11,466.70","11,207.40",8.24M,1.81%
8/8/2017,"11,063.40","11,293.90","11,351.50","10,976.90",8.64M,-2.29%
8/9/2017,"10,516.00","10,976.90","11,005.70","10,314.30",12.54M,-4.95%
8/10/2017,"10,602.40","10,314.30","10,688.80","10,314.30",4.55M,0.82%
8/11/2017,"10,487.10","10,544.80","10,717.60","10,487.10",3.71M,-1.09%
8/14/2017,"10,660.00","10,487.10","10,660.00","10,458.30",4.58M,1.65%
8/15/2017,"10,688.80","10,832.90","10,890.50","10,660.00",5.29M,0.27%
8/16/2017,"11,178.60","10,688.80","11,293.90","10,660.00",8.36M,4.58%
8/17/2017,"11,005.70","11,236.20","11,437.90","11,005.70",14.01M,-1.55%
8/18/2017,"11,149.80","10,890.50","11,207.40","10,832.90",6.79M,1.31%
8/21/2017,"11,063.40","11,207.40","11,437.90","11,063.40",7.35M,-0.77%
8/22/2017,"10,775.30","11,092.20","11,121.00","10,717.60",5.97M,-2.60%
8/23/2017,"10,948.10","10,832.90","10,976.90","10,688.80",3.90M,1.60%
8/24/2017,"11,034.60","10,948.10","11,178.60","10,890.50",4.83M,0.79%
8/25/2017,"11,524.30","11,034.60","11,610.80","11,034.60",13.13M,4.44%
8/28/2017,"11,870.10","11,697.20","11,956.50","11,582.00",9.60M,3.00%
8/29/2017,"11,639.60","11,812.40","11,927.70","11,639.60",8.43M,-1.94%
8/30/2017,"11,870.10","11,639.60","11,985.30","11,639.60",6.73M,1.98%
8/31/2017,"11,754.80","11,985.30","12,158.20","11,754.80",8.28M,-0.97%
9/1/2017,"11,927.70","11,754.80","11,927.70","11,754.80",4.55M,1.47%
9/5/2017,"11,898.90","11,927.70","12,071.70","11,783.60",4.80M,-0.24%
9/6/2017,"11,783.60","11,870.10","11,927.70","11,668.40",6.67M,-0.97%
9/7/2017,"11,812.40","11,726.00","11,927.70","11,726.00",5.70M,0.24%
9/8/2017,"11,726.00","11,812.40","11,927.70","11,726.00",5.09M,-0.73%
9/11/2017,"11,178.60","11,668.40","11,754.80","11,178.60",10.46M,-4.67%
9/12/2017,"11,437.90","11,178.60","11,437.90","11,121.00",4.79M,2.32%
9/13/2017,"11,697.20","11,466.70","11,697.20","11,380.30",3.35M,2.27%
9/14/2017,"11,466.70","11,668.40","11,726.00","11,466.70",3.86M,-1.97%
9/15/2017,"11,582.00","11,466.70","11,639.60","11,409.10",3.61M,1.01%
9/18/2017,"11,870.10","11,697.20","12,100.60","11,697.20",8.50M,2.49%
9/19/2017,"11,754.80","11,870.10","12,042.90","11,754.80",5.90M,-0.97%
9/20/2017,"11,927.70","11,754.80","11,927.70","11,726.00",3.80M,1.47%
9/21/2017,"11,898.90","11,927.70","12,014.10","11,870.10",2.00M,-0.24%
9/22/2017,"12,359.90","11,927.70","12,388.70","11,927.70",8.96M,3.87%
9/25/2017,"12,331.00","12,417.50","12,446.30","12,187.00",4.81M,-0.23%
9/26/2017,"12,388.70","12,388.70","12,446.30","12,187.00",4.06M,0.47%
9/27/2017,"12,503.90","12,388.70","12,561.50","12,273.40",6.62M,0.93%
