Date,Price,Open,High,Low,Vol.,Change %
4/26/2017,"11,526.80","11,480.70","11,572.90","11,434.60",141.94K,0.40%
4/27/2017,"11,526.80","11,526.80","11,619.10","11,480.70",237.34K,0.00%
4/28/2017,"11,526.80","11,526.80","11,526.80","11,434.60",111.91K,0.00%
5/3/2017,"11,526.80","11,526.80","11,572.90","11,434.60",194.00K,0.00%
5/4/2017,"11,757.40","11,572.90","11,780.40","11,572.90",344.59K,2.00%
5/5/2017,"11,757.40","11,757.40","11,803.50","11,642.10",333.81K,0.00%
5/8/2017,"12,564.30","11,757.40","12,564.30","11,711.30",835.48K,6.86%
5/9/2017,"12,748.70","12,864.00","12,887.00","12,633.40",1.08M,1.47%
5/10/2017,"12,679.50","12,794.80","12,794.80","12,633.40",291.83K,-0.54%
5/11/2017,"12,541.20","12,633.40","12,633.40","12,449.00",247.44K,-1.09%
5/12/2017,"12,610.40","12,449.00","13,002.30","12,449.00",632.01K,0.55%
5/15/2017,"12,817.80","12,587.30","12,864.00","12,587.30",639.22K,1.64%
5/16/2017,"12,910.10","12,817.80","13,532.50","12,725.60",1.23M,0.72%
5/17/2017,"12,979.20","12,771.70","13,002.30","12,771.70",373.15K,0.54%
5/18/2017,"12,633.40","12,910.10","12,910.10","12,587.30",338.02K,-2.66%
5/19/2017,"12,287.60","12,449.00","12,633.40","12,264.60",705.40K,-2.74%
5/22/2017,"12,564.30","12,103.20","12,633.40","12,103.20",382.51K,2.25%
5/23/2017,"12,541.20","12,356.80","12,587.30","12,356.80",272.44K,-0.18%
5/24/2017,"12,541.20","12,449.00","12,541.20","12,356.80",242.31K,0.00%
5/25/2017,"12,541.20","12,541.20","12,794.80","12,449.00",309.05K,0.00%
5/26/2017,"12,518.10","12,541.20","12,587.30","12,402.90",334.15K,-0.18%
5/29/2017,"12,817.80","12,518.10","12,864.00","12,449.00",855.23K,2.39%
5/30/2017,"12,771.70","12,771.70","13,048.40","12,771.70",639.46K,-0.36%
5/31/2017,"12,817.80","12,587.30","12,817.80","12,587.30",174.49K,0.36%
6/1/2017,"12,817.80","12,817.80","12,817.80","12,679.50",132.26K,0.00%
